,combination,bad_tickers,good_tickers
0,Consumer Cyclical_governanceScore,"LEG,F,AMZN,GM,TSLA,MGM,WYNN,DPZ,EXPE,FBHS,ROL,LVS,EBAY,NKE,BWA","CCL,MAR,RCL,SEE,HLT,PKG,BLL,LKQ,ORLY,GPC,AAP,KMX,LOW,HD,AZO"
1,Consumer Cyclical_environmentScore,"LEG,F,GM,NCLH,FBHS,IP,LEN,CCL,PHM,NVR,DHI,RCL,SEE,PKG,BLL","ROL,LVS,EBAY,PVH,ROST,GPS,HBI,RL,TPR,ORLY,VFC,AAP,KMX,AZO,HAS"
2,Consumer Cyclical_socialScore,"LEG,F,AMZN,GM,TSLA,MGM,WYNN,DPZ,DRI,EXPE,CMG,MCD,YUM,SBUX,ROL","FBHS,IP,SEE,NKE,PKG,BLL,MHK,TSCO,LKQ,APTV,BWA,GPC,LOW,HD,HAS"
3,Energy_governanceScore,"COG,MRO,CVX,PXD,NOV","PSX,VLO,OKE,WMB,KMI"
4,Energy_environmentScore,"COG,MRO,CVX,APA,OXY","NOV,HAL,SLB,WMB,KMI"
5,Energy_socialScore,"COG,CVX,EOG,OXY,NOV","PSX,HES,VLO,MPC,KMI"
6,Industrials_governanceScore,"GE,TDG,GD,PWR,BA,TXT,MMM,CAT,WAB,HON,SNA,PCAR,SWK,AME,MAS,J","NOC,DAL,UNP,NSC,KSU,RSG,EXPD,CSX,AVY,DE,XYL,TT,WM,JBHT,RHI"
7,Industrials_environmentScore,"GE,TDG,TXT,MMM,WAB,LUV,EMR,HON,UAL,AAL,DAL,MAS,KSU,ALLE,RSG,AVY","J,EFX,INFO,NLSN,CPRT,VRSK,ROP,GPN,EXPD,PAYX,DE,XYL,GWW,JBHT,ADP,RHI"
8,Industrials_socialScore,"GE,TDG,GD,PWR,BA,TXT,CAT,LUV,EMR,NOC,LMT,DOV,EFX,INFO,NLSN,VRSK","MAS,ALLE,RSG,ROK,CMI,AVY,ETN,URI,XYL,TT,GWW,WM,JBHT,ADP,JCI,RHI"
9,Healthcare_governanceScore,"PRGO,SYK,HOLX,ISRG,LLY,BDX,BSX,ZBH,ABBV,RMD,ABT,PFE,MRK,IDXX","HUM,UNH,AMGN,WBA,WAT,PKI,A,MCK,HSIC,MTD,ABC,ANTM,CAH,CI"
10,Healthcare_environmentScore,"PRGO,SYK,UHS,HOLX,ISRG,TFX,BDX,ZBH,DXCM,RMD,HCA,COO,IDXX,XRAY","INCY,BMY,CVS,HUM,GILD,DVA,BIIB,REGN,UNH,AMGN,DGX,ANTM,CI"
11,Healthcare_socialScore,"PRGO,UHS,LLY,TFX,BDX,JNJ,ABBV,BAX,HCA,INCY,VRTX,CVS,HUM,CNC","IDXX,EW,ZTS,A,MCK,LH,TMO,HSIC,MTD,ABC,ANTM,CAH,CI,ILMN"
12,Basic Materials_governanceScore,"ALB,NUE,MOS,MLM,VMC","FCX,CF,SHW,NEM,APD"
13,Basic Materials_environmentScore,"FMC,ALB,FCX,CF,MLM","PPG,ECL,NEM,IFF,APD"
14,Basic Materials_socialScore,"FMC,NUE,MOS,FCX,SHW","MLM,VMC,LYB,EMN,APD"
15,Consumer Defensive_governanceScore,"TSN,KHC,WMT,PG,MO,EL,PM,CHD","CAG,K,KO,CPB,GIS,PEP,NWL,SYY"
16,Consumer Defensive_environmentScore,"TSN,ADM,KHC,CAG,HRL,MNST,SJM,HSY","WMT,MO,PM,DLTR,PEP,DG,TGT,SYY"
17,Consumer Defensive_socialScore,"TSN,ADM,KHC,CAG,MKC,WMT,K,MO","CHD,CPB,KMB,TAP,PEP,NWL,TGT,SYY"
18,Utilities_governanceScore,"FE,ETR,SO,ATO,EXC,ED,LNT","AEP,NI,XEL,DUK,AWK,DTE,CMS"
19,Utilities_environmentScore,"CNP,AEP,AES,FE,PPL,ETR,WEC","EIX,PNW,EXC,ED,CMS,LNT,ES"
20,Utilities_socialScore,"CNP,AEP,FE,SO,ATO,EIX,ED","AES,PPL,AEE,NEE,DTE,CMS,LNT"
21,Technology_governanceScore,"SWKS,QRVO,MCHP,AVGO,ADI,APH,AKAM,GLW,XLNX,QCOM,ANET,ORCL,INTC,AAPL,JNPR,IBM","NXPI,GRMN,NLOK,TEL,ADSK,ANSS,LRCX,SNPS,MSFT,CDNS,AMAT,CRM,ADBE,KEYS,CDW"
22,Technology_environmentScore,"FTV,SWKS,QRVO,MCHP,AVGO,ADI,APH,TXN,GLW,NXPI,KLAC,GRMN,TER,QCOM,MU,TEL","IT,ANET,ORCL,AAPL,JNPR,BR,IBM,CTXS,MSFT,CDNS,HPE,CSCO,ACN,CRM,ADBE,HPQ"
23,Technology_socialScore,"FTV,SWKS,IT,VRSN,AKAM,PTC,FTNT,FFIV,FISV,FIS,ORCL,CTSH,FLT,NLOK,INTU,JKHY","TXN,GLW,QCOM,MU,TEL,LRCX,TRMB,NVDA,AMAT,HPE,WDC,IPGP,STX,HPQ,KEYS,CDW"
24,Financial Services_governanceScore,"WFC,USB,SIVB,AIG,RJF,CMA,C,AIZ,SCHW,WRB,CINF,PGR,AFL,UNM,AMP,AJG","STT,PNC,HBAN,AXP,TROW,RF,SYF,PYPL,V,ICE,CME,WU,SPGI,MSCI,NDAQ,MCO"
25,Financial Services_environmentScore,"SIVB,MTB,NTRS,IVZ,SCHW,WRB,KEY,AFL,UNM,BK,AMP,HBAN,PFG,TROW,CBOE,CME","JPM,COF,MS,AJG,DFS,WLTW,AXP,MMC,SYF,RE,PRU,MA,PYPL,V,L,MCO"
26,Financial Services_socialScore,"WFC,USB,SIVB,JPM,MTB,RJF,CMA,BAC,NTRS,GS,IVZ,PBCT,COF,MS,STT,PNC","WRB,AMP,CBOE,TRV,HIG,RE,LNC,PRU,ICE,L,CME,WU,SPGI,MSCI,NDAQ,MCO"
27,Communication Services_governanceScore,"FB,GOOGL,DISH,DISCA,NFLX","T,VZ,ATVI,IPG,EA"
28,Communication Services_environmentScore,"CHTR,LUMN,CMCSA,TMUS,TWTR","OMC,NFLX,IPG,DIS,NWSA"
29,Communication Services_socialScore,"FB,CHTR,LUMN,CMCSA,TMUS","DISCA,NFLX,DIS,NWSA,EA"
30,Real Estate_governanceScore,"ARE,SPG,EQIX,ESS,DLR,VNO,FRT","WY,VTR,WELL,PEAK,AVB,PLD,CBRE"
31,Real Estate_environmentScore,"MAA,WY,IRM,SPG,DRE,CCI,PSA","ARE,VNO,FRT,EQR,AVB,PLD,CBRE"
32,Real Estate_socialScore,"MAA,ARE,SBAC,EQIX,HST,O,BXP","CCI,PSA,WELL,EQR,PEAK,AVB,CBRE"
